ScientificName,AphiaID,Match type,ScientificName,Taxon status,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial
Loligo vulgaris,140271,exact,Loligo vulgaris,accepted,140271,Loligo vulgaris,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo,,vulgaris,,1,,0,0
Octopus vulgaris,140605,exact,Octopus vulgaris,accepted,140605,Octopus vulgaris,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,,vulgaris,,1,,0,0
Scaeurgus unicirrhus,140607,exact,Scaeurgus unicirrhus,accepted,140607,Scaeurgus unicirrhus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Scaeurgus,,unicirrhus,,1,0,0,0
Sepia officinalis,141444,exact,Sepia officinalis,accepted,141444,Sepia officinalis,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,,officinalis,,1,1,0,0
Sepia orbignyana,141445,exact,Sepia orbignyana,superseded combination,1667212,Rhombosepion orbignyanum,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,,orbignyana,,1,0,0,0
Todarodes sagittatus,140624,exact,Todarodes sagittatus,accepted,140624,Todarodes sagittatus,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes,,sagittatus,,1,,0,0
Todaropsis eblanae,140625,exact,Todaropsis eblanae,accepted,140625,Todaropsis eblanae,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todaropsis,,eblanae,,1,,0,0
Abramis brama,154281,exact,Abramis brama,accepted,154281,Abramis brama,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Abramis,,brama,,0,1,1,0
Acipenser oxyrinchus,151802,exact,Acipenser oxyrinchus,accepted,151802,Acipenser oxyrinchus,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,,oxyrinchus,,1,1,1,0
Acipenser sturio,126279,exact,Acipenser sturio,accepted,126279,Acipenser sturio,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,,sturio,,1,1,1,0
Alepocephalus bairdii,126682,exact,Alepocephalus bairdii,accepted,126682,Alepocephalus bairdii,Animalia,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Alepocephalus,,bairdii,,1,0,0,0
Alopias superciliosus,105835,exact,Alopias superciliosus,accepted,105835,Alopias superciliosus,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,,superciliosus,,1,0,0,0
Alopias vulpinus,105836,exact,Alopias vulpinus,accepted,105836,Alopias vulpinus,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,,vulpinus,,1,0,0,0
Alosa alosa,126413,exact,Alosa alosa,accepted,126413,Alosa alosa,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,,alosa,,1,1,1,0
Alosa fallax,126415,exact,Alosa fallax,accepted,126415,Alosa fallax,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,,fallax,,1,1,1,0
Amblyraja radiata,105865,exact,Amblyraja radiata,accepted,105865,Amblyraja radiata,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,,radiata,,1,1,0,0
Ammodytes spp,125909,exact,Ammodytes,accepted,125909,Ammodytes,Animalia,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,,,,1,1,0,0
Anarhichas denticulatus,126757,exact,Anarhichas denticulatus,accepted,126757,Anarhichas denticulatus,Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,denticulatus,,1,0,0,0
Anarhichas lupus,126758,exact,Anarhichas lupus,accepted,126758,Anarhichas lupus,Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,,lupus,,1,0,0,0
Anguilla anguilla,126281,exact,Anguilla anguilla,accepted,126281,Anguilla anguilla,Animalia,Chordata,Teleostei,Anguilliformes,Anguillidae,Anguilla,,anguilla,,1,1,1,0
Antimora rostrata,126486,exact,Antimora rostrata,accepted,126486,Antimora rostrata,Animalia,Chordata,Teleostei,Gadiformes,Moridae,Antimora,,rostrata,,1,0,0,0
Aphanopus carbo,127085,exact,Aphanopus carbo,accepted,127085,Aphanopus carbo,Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Aphanopus,,carbo,,1,0,0,0
Apristurus spp.,105727,exact,Apristurus,accepted,105727,Apristurus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Pentanchidae,Apristurus,,,,1,0,0,0
Argentina,125885,exact,Argentina,accepted,125885,Argentina,Animalia,Chordata,Teleostei,Argentiniformes,Argentinidae,Argentina,,,,1,1,0,0
Argentina silus,126715,exact,Argentina silus,accepted,126715,Argentina silus,Animalia,Chordata,Teleostei,Argentiniformes,Argentinidae,Argentina,,silus,,1,0,0,0
Argentina sphyraena,126716,exact,Argentina sphyraena,accepted,126716,Argentina sphyraena,Animalia,Chordata,Teleostei,Argentiniformes,Argentinidae,Argentina,,sphyraena,,1,0,0,0
